 -----------------------------------------------------------
   Label        Explanations
-----------------------------------------------------------
  1  Name         Galaxy Name
  2  MType        Morphological type, HyperLeda 
  3  t            Hubble Type (0-17)
  4  t(leda)      Hubble Type
  5  mFUV         dust-corrected FUV total (bulge+disk) apparent magnitude
  6  E_F          Upper uncertainty in mFUV
  7  e_F          Lower uncertainty in mFUV
  8  mNUV         dust-corrected NUV total (bulge+disk) apparent magnitude
  9  E_N          Upper uncertainty in mNUV
 10   e_N          Lower uncertainty in mNUV
 11   m3.6         dust-corrected 3.6um total (bulge+disk) apparent magnitude
 12   E_3          Upper uncertainty in m3.6
 13   e_3          Lower uncertainty in m3.6
 14   BT-uv        ?="" NUV/FUV Bulge-to-total ratio
 15   BT-ir        3.6um Bulge-to-total ratio
 16   DT-uv        ?="" NUV/FUV Disk-to-total ratio
 17   DT-ir        ?="" 3.6um Disk-to-total ratio
 18   D1           Bulge dust correction, FUV
 19   D2           ?="" Disk dust correction, FUV
 20   D3           ?="" Bulge dust correction, NUV
 21   D4           ?="" Disk dust correction, NUV
 22   D5           ?="" Bulge dust correction, 3.6um
 23   D6           ?="" Disk dust correction, 3.6um
 24   logMBH       supermassive black hole mass (from Van den Bosch, 2016)
 25   E_M          Upper uncertainty in logMBH [Msun]
 26   e_M          Lower uncertainty in logMBH
 27   Logsigma     log velocity dispersion (from Van den Bosch, 2016)
 28   ELogs        error in log velocity dispersion
 29   LogLk	   log K-band luminosity [in solar unit](from Van den Bosch, 2016)
 30   LogLk_err    Uncertainty in LogLk (2)
 31   M/Lk         Mass to light ratio (k-band)
 32   LogMassk     log Stellar mass (k-band), in solar masses
 33   LogMassk_e   Uncertainty in LogMassk
 34   logRe        Effective radius in kpc (from Van den Bosch, 2016)
 35   logRe_e      Error in effective radius
 36   Dist         Distance in Mpc (from Van den Bosch, 2016)
 37   Diste        Error in distance in Mpc
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Name     MType  t t_leda mFUV  E_F  e_F   mNUV  E_N  e_N  m3.6 E_3  e_3 BT-uv BT-ir DT-uv DT-ir D1  D2    D3   D4    D5   D6 logMBH E_M  e_M   Logsigma ELogs   LogLk LogLk_err  M/Lk   LogMassk  LogMassk_e logRe  elogRe   Dist   Diste
NGC~0289 SBbc  13   4    12.84 0.39 0.39 12.67 0.40 0.40 10.55 0.38 0.38  NA  0.02 0.92   0.92 0.14 0.05   NA  0.66  NA  0.66 7.38 0.30 7.38   	2.03   0.05	10.60	0.08	0.82	10.51       0.12     0.35   0.04     17.1   1.7
NGC~0428 SABm  13   8.6  12.91 0.37 0.37 12.65 0.37 0.37 11.85 0.35 0.35  NA  0.00 0.93   0.93 0.13 0.05   NA  0.70  NA  0.70 4.48 0.37 4.48   	1.50   0.07	10.01	0.09	0.47 	 9.69 	    0.13     0.51   0.06     16.1   1.6
NGC~0613 SBbc  13   4    12.99 0.36 0.36 12.46 0.36 0.36  9.61 0.34 0.34 0.04 0.13 0.92   0.75 0.13 0.05  1.29 0.62 1.29 0.62 7.60 0.35 0.35   	2.09   0.07	10.97	0.12	0.87	10.91       0.15     0.82   0.11     15.4   1.5
NGC~1042 SABc  14   6    13.08 0.39 0.39 12.80 0.39 0.39 11.10 0.37 0.37  NA  0.02 0.97   0.97 0.13 0.05   NA  0.70  NA  0.70 4.40 2.08 4.40   	1.64   0.07	10.48	0.09 	0.55	10.22       0.13     0.78   0.06     18.2   1.8
NGC~1052 E4     4  -4.7  16.81 0.24 0.24 15.28 0.24 0.24 10.05 0.23 0.23 0.67 0.72  NA     NA  0.01  NA   0.23  NA  0.23  NA  8.24 0.29 0.29   	2.28   0.01	10.92	0.08	1.06	10.95       0.12     0.34   0.05     18.1   1.8
NGC~1097 SBb   12   3.3  12.10 0.37 0.37 11.66 0.37 0.37  8.89 0.35 0.35 0.11 0.22 0.79   0.56 0.15 0.05  1.41 0.73 1.41 0.73 8.14 0.09 0.09   	2.29   0.01	11.18	0.10	1.07	11.21       0.13     0.74   0.12     14.5   1.5
NGC~1300 SBc   14   4    13.21 0.40 0.40 12.78 0.40 0.40 10.23 0.38 0.38  NA  0.07 0.87   0.87 0.16 0.05   NA  0.76  NA  0.76 7.88 0.34 0.34   	2.34   0.02 	11.05	0.34	1.13	11.10       0.35     1.09   0.17     21.5   9.4
NGC~1386 SB0-a  9  -0.7  15.79 0.35 0.35 14.64 0.36 0.36 10.51 0.32 0.32 0.26 0.36 0.70   0.58 0.32 0.10  1.54 1.00 1.54 1.00 6.07 0.29 0.29   	2.22   0.02	10.51	0.08	1.00	10.51 	    0.12     0.25   0.06     16.1   1.6
NGC~1493 SBc   14   6    12.99 0.40 0.40 12.76 0.38 0.38 11.45 0.36 0.36  NA  0.00 0.97   0.97 0.11 0.04   NA  0.53  NA  0.53 5.40 0.51 5.40   	1.55   0.07	 9.96	0.12	0.50	 9.66	    0.15     0.51   0.09     11.4   1.1
NGC~2685 SB0-a  9  -1    14.66 0.39 0.39 14.15 0.39 0.39 10.97 0.36 0.36 0.36 0.46 0.54   0.41 0.23 0.08  1.82 1.17 1.83 1.18 6.59 0.41 6.59   	2.02   0.02	10.20	0.09	0.81	10.11 	    0.13     0.20   0.08     12.5   1.3
NGC~2748 Sbc   13   4    13.98 0.36 0.36 13.52 0.36 0.36 11.05 0.34 0.34  NA  0.03 0.97   0.97 0.34 0.11   NA  1.16  NA  1.17 7.65 0.24 0.24   	2.06   0.02 	10.62	0.25	0.85	10.55       0.27     0.53   0.14     23.4   8.2
NGC~2787 SB0-a  9  -1    16.66 0.54 0.54 14.85 0.36 0.36  9.85 0.35 0.35 0.39 0.51 0.59   0.45 0.19 0.07  2.32 1.65 2.34 1.66 7.61 0.09 0.09   	2.28   0.02	10.21	0.13	1.06	10.24 	    0.16    -0.02   0.07      7.4   1.2
NGC~2903 SBbc  13   4    11.66 0.33 0.33 11.17 0.36 0.36  8.35 0.34 0.34  NA  0.07 0.90   0.90 0.25 0.08   NA  0.96  NA  0.96 7.06 0.28 7.06   	1.97   0.06	11.06	0.12	0.77	10.95 	    0.15     0.73   0.11     10.4   1.0
NGC~2964 SBbc  13   4    14.13 0.35 0.35 13.47 0.35 0.35 10.72 0.34 0.34  NA  0.10 0.90   0.90 0.20 0.06   NA  0.75  NA  0.75 6.73 0.61 6.73   	1.97   0.09	10.63	0.08	0.77	10.52	    0.12     0.41   0.05     19.7   2.0
NGC~2974 E4     4  -4.3  16.98 0.23 0.23 15.59 0.24 0.24 10.52 0.22 0.22 0.49 0.54  NA     NA  0.01  NA   0.44  NA  0.45 0.45 8.23 0.09 0.09   	2.36   0.02	11.04	0.09	1.15	11.10 	    0.13     0.55   0.07     21.5   2.4
NGC~3021 Sbc   13   4    14.60 0.35 0.35 14.07 0.35 0.35 11.62 0.34 0.34  NA  0.01 0.98   0.98 0.19 0.06   NA  0.71  NA  0.71 7.26 0.30 7.26   	1.70   0.20	10.40	0.09	0.58	10.16       0.13     0.31   0.06     22.4   2.2
NGC~3031 Sab   11   2.4  10.07 0.36 0.36  9.29 0.45 0.45  6.22 0.39 0.39 0.14 0.46 0.86   0.54 0.23 0.08  1.96 1.30 1.97 1.31 7.81 0.13 0.13   	2.15   0.02	10.93	0.08	0.93	10.90	    0.12     0.44   0.11      3.6   0.1
NGC~3079 SBc   13   6.4  12.10 0.36 0.36 11.69 0.36 0.36  9.26 0.34 0.34 0.07 0.24 0.93   0.77 0.57 0.24  1.81 1.73 1.82 1.73 6.40 0.05 0.05   	2.16   0.02	10.86	0.07	0.94	10.83 	    0.11     0.63   0.05     15.9   1.2
NGC~3115 E-S0   7  -2.9  14.45 0.36 0.36 12.71 0.35 0.35  8.18 0.33 0.33 0.63 0.74 0.37   0.26 0.36 0.13  1.86 1.37 1.87 1.38 8.95 0.09 0.09   	2.36   0.02	10.98	0.04	1.15	11.04       0.10     0.42   0.06      9.5   0.4
NGC~3310 SBbc  13   4    11.68 0.36 0.36 11.41 0.36 0.36 10.69 0.34 0.34 0.16 0.33 0.83   0.63 0.13 0.05  1.33 0.65 1.33 0.66 6.70 0.92 6.70   	1.92   0.02	10.42	0.09	0.73	10.28	    0.13     0.07   0.08     17.4   1.7
NGC~3368 SBab  11   2.1  13.76 0.38 0.38 13.04 0.38 0.38  8.79 0.36 0.36  NA  0.07 0.92   0.92 0.15 0.05   NA  0.71  NA  0.71 6.88 0.08 0.08   	2.08   0.09	10.95	0.07	0.86	10.89	    0.11     0.49   0.06     10.4   1.0
NGC~3414 SB0    8  -2    16.39 0.39 0.39 15.13 0.36 0.36 10.49 0.34 0.34 0.57 0.69 0.41   0.29 0.13 0.05  1.36 0.69 1.37 0.69 8.40 0.07 0.07   	2.28   0.02	10.99	0.11	1.06	11.02	    0.14     0.46   0.08     25.2   2.7
NGC~3423 Sc    14   6    12.92 0.37 0.37 12.52 0.37 0.37 11.17 0.35 0.35  NA  0.06 0.95   0.95 0.12 0.05   NA  0.71  NA  0.71 5.18 0.67 5.18   	1.62   0.07	10.35	0.09	0.54	10.08 	    0.13     0.71   0.07     14.6   1.5
NGC~3489 SB0-a  9  -1.2  16.01 0.36 0.36 14.14 0.36 0.36 10.05 0.33 0.33 0.23 0.32 0.71   0.58 0.19 0.06  1.38 0.71 1.39 0.71 6.78 0.05 0.05   	2.01   0.02	10.60	0.07	0.80    10.50       0.11     0.18   0.08     12.1   0.8
NGC~3608 E2     2  -4.8  17.58 0.29 0.29 15.51 0.29 0.29 10.56 0.27 0.27 1.00 1.00  NA     NA  0.01  NA   0.17  NA  0.18  NA  8.67 0.10 0.10   	2.23   0.02	10.92	0.07	1.01 	10.92	    0.11     0.47   0.06     22.8   1.5
NGC~3627 SBb   12   3.1  12.07 0.35 0.35 11.35 0.35 0.35  8.36 0.34 0.34 0.03 0.12 0.93   0.78 0.26 0.08  1.62 1.00 1.62 1.00 6.93 0.05 0.05   	2.09   0.01	11.02	0.09	0.87	10.96	    0.13     0.63   0.07     10.1   1.1
NGC~3642 Sbc   13   4    13.25 0.44 0.44 13.12 0.39 0.39 11.51 0.42 0.42 0.03 0.14 0.95   0.80 0.12 0.042 1.21 0.55 1.21 0.55 7.42 0.04 7.42   	1.97   0.11	10.35	0.10	0.77	10.24 	    0.13     0.27   0.06     21.6   2.2 
